Complexity metrics,ÖÜ¶þ, 19 3ÔÂ 2024 10:30:21 CST,,
Method,CogC,ev(G),iv(G),v(G)
Expr.Expr(),0,1,1,1
Expr.addTerm(Term),4,1,3,3
Expr.getHashMap(),0,1,1,1
Expr.negate(),1,1,2,2
"Expr.optimize(StringBuilder, BigInteger, BigInteger)",20,1,13,13
Expr.polyPow(int),16,2,9,9
Expr.toString(),22,4,10,10
Lexer.Lexer(String),0,1,1,1
Lexer.getNumber(),2,1,3,3
Lexer.getVariable(),2,1,3,3
Lexer.next(),5,2,3,9
Lexer.peek(),0,1,1,1
Main.main(String[]),0,1,1,1
Number.Number(BigInteger),0,1,1,1
Number.getHashMap(),0,1,1,1
Number.getNum(),0,1,1,1
Number.negate(),0,1,1,1
Number.polyPow(int),0,1,1,1
Number.toString(),0,1,1,1
Parser.Parser(Lexer),0,1,1,1
Parser.parseExpr(),8,1,6,6
Parser.parseFactor(),14,4,7,7
Parser.parseTerm(),4,1,4,4
Term.Term(),0,1,1,1
Term.addFactor(Factor),8,1,5,5
Term.getHashMap(),0,1,1,1
Term.negate(),1,1,2,2
Term.polyPow(int),0,1,1,1
"Variable.Variable(BigInteger, String, BigInteger)",0,1,1,1
Variable.getCoefficient(),0,1,1,1
Variable.getExponent(),0,1,1,1
Variable.getHashMap(),0,1,1,1
Variable.getName(),0,1,1,1
Variable.negate(),0,1,1,1
Variable.polyPow(int),0,1,1,1
,,,,
Class,OCavg,OCmax,WMC,
Expr,5.57,13,39,
Lexer,2,4,10,
Main,1,1,1,
Number,1,1,6,
Parser,4.25,7,17,
Term,2,5,10,
Variable,1,1,7,
,,,,
Package,v(G)avg,v(G)tot,,
,2.8,98,,
,,,,
Module,v(G)avg,v(G)tot,,
oohomework_2024_22371500_hw_1,2.8,98,,
,,,,
Project,v(G)avg,v(G)tot,,
project,2.8,98,,
