Complexity metrics,ÖÜÈý, 20 3ÔÂ 2024 11:15:05 CST
Method,CogC,ev(G),iv(G),v(G)
Definer.addFunction(String),6,1,6,6
"Definer.callFunction(String, ArrayList<Factor>)",1,1,2,2
DeriFactor.DeriFactor(Factor),0,1,1,1
DeriFactor.toPoly(),0,1,1,1
"Exp.Exp(Factor, BigInteger)",0,1,1,1
Exp.toPoly(),0,1,1,1
Expr.Expr(),0,1,1,1
Expr.addTerm(Term),0,1,1,1
Expr.toPoly(),4,1,3,3
"ExprFactor.ExprFactor(Expr, int)",0,1,1,1
ExprFactor.toPoly(),0,1,1,1
"FuncFactor.FuncFactor(String, ArrayList<Factor>)",0,1,1,1
FuncFactor.getExpr(),0,1,1,1
FuncFactor.setExpr(),0,1,1,1
FuncFactor.toPoly(),0,1,1,1
Lexer.Lexer(String),0,1,1,1
Lexer.getNumber(),2,1,3,3
Lexer.getVariable(),2,1,3,3
Lexer.next(),4,2,3,4
Lexer.peek(),0,1,1,1
Main.main(String[]),1,1,2,2
Main.preProcess(String),0,1,1,1
"Mono.Mono(BigInteger, BigInteger)",0,1,1,1
Mono.checkExp(StringBuilder),2,1,2,2
Mono.coeEqNegOne(StringBuilder),11,3,6,6
Mono.coeEqOne(StringBuilder),11,3,6,6
Mono.coeGtOne(StringBuilder),4,1,4,4
Mono.coeLeNeqOne(StringBuilder),4,1,4,4
Mono.deriMono(),0,1,1,1
Mono.equals(Object),6,4,4,7
Mono.getCoefficient(),0,1,1,1
Mono.getExponent(),0,1,1,1
Mono.getPoly(),0,1,1,1
Mono.hashCode(),0,1,1,1
Mono.isFactor(),7,4,5,6
Mono.mulMono(Mono),0,1,1,1
Mono.setCoefficient(BigInteger),0,1,1,1
Mono.setPoly(Poly),0,1,1,1
Mono.toString(),4,1,5,5
Mono.updateExpMap(Poly),1,1,2,2
Parser.Parser(Lexer),0,1,1,1
Parser.parseDeriFactor(),0,1,1,1
Parser.parseExpFactor(),4,2,3,3
Parser.parseExpr(),8,1,6,6
Parser.parseExprFactor(),3,1,3,3
Parser.parseFactor(),7,6,8,8
Parser.parseFuncFactor(),1,1,2,2
Parser.parseNumberFactor(),0,1,1,1
Parser.parseTerm(int),4,1,4,4
Parser.parseVariableFactor(),4,2,3,3
Poly.Poly(),0,1,1,1
"Poly.Poly(HashMap<Mono, BigInteger>)",1,1,2,2
Poly.addMono(Mono),2,1,2,2
Poly.addPoly(Poly),2,1,3,3
Poly.deriPoly(),1,1,2,2
Poly.equals(Object),3,3,2,4
Poly.expMulPoly(BigInteger),0,1,1,1
Poly.getMonoMap(),0,1,1,1
Poly.hashCode(),0,1,1,1
Poly.isFactor(),3,3,3,3
Poly.mulPoly(Poly),3,1,3,3
Poly.negate(),0,1,1,1
Poly.powPoly(int),6,2,5,5
Poly.toString(),11,2,5,6
Term.Term(int),0,1,1,1
Term.addFactor(Factor),0,1,1,1
Term.getSign(),0,1,1,1
Term.negate(),0,1,1,1
Term.toPoly(),1,1,2,2
"Variable.Variable(BigInteger, String, BigInteger)",0,1,1,1
Variable.toPoly(),0,1,1,1

Class,OCavg,OCmax,WMC
Definer,4.00,6,8
DeriFactor,1.00,1,2
Exp,1.00,1,2
Expr,1.67,3,5
ExprFactor,1.00,1,2
FuncFactor,1.00,1,4
Lexer,2.00,4,10
Main,1.50,2,3
Mono,2.56,6,46
Parser,2.90,6,29
Poly,2.43,6,34
Term,1.20,2,6
Variable,1.00,1,2

Package,v(G)avg,v(G)tot
,2.31,164

Module,v(G)avg,v(G)tot
oohomework_2024_22371500_hw_3,2.31,164

Project,v(G)avg,v(G)tot
project,2.31,164

